customer_id,frequency,monetary,last_purchase,segment
CUST0286,14,503721.94,2024-12-26,Champion
CUST0084,21,481109.83,2024-11-25,Champion
CUST0264,14,471024.96,2024-12-15,Champion
CUST0042,12,455794.86,2024-12-20,Champion
CUST0357,16,399073.95,2024-11-11,Champion
CUST0233,17,398374.15,2024-09-06,Champion
CUST0473,8,393267.91,2024-09-03,Champion
CUST0048,14,382614.53,2024-12-04,Champion
CUST0019,16,374971.73,2024-12-20,Champion
CUST0108,13,373029.07,2024-12-03,Champion
CUST0358,15,364961.46,2024-12-28,Champion
CUST0323,10,358138.33,2024-10-23,Champion
CUST0439,13,348919.21,2024-12-29,Champion
CUST0455,8,342544.64,2024-11-11,Champion
CUST0474,11,341650.37,2024-12-25,Champion
CUST0170,10,331277.85,2024-08-18,Champion
CUST0281,12,325000.09,2024-10-22,Champion
CUST0332,11,309590.24,2024-12-25,Champion
CUST0096,12,305435.02,2024-09-23,Champion
CUST0336,15,304832.16,2024-12-14,Champion
CUST0178,17,302217.61,2024-11-20,Champion
CUST0337,8,297583.72,2024-11-05,Champion
CUST0342,9,295769.34,2024-12-13,Champion
CUST0161,14,295689.66,2024-05-23,Champion
CUST0296,13,290590.0,2024-12-31,Champion
CUST0313,14,287916.06,2024-11-15,Champion
CUST0067,11,287457.52,2024-09-05,Champion
CUST0107,9,280440.63,2024-08-28,Champion
CUST0409,9,279748.12,2024-09-22,Champion
CUST0192,13,279348.85,2024-10-16,Champion
CUST0272,8,277044.18,2024-12-22,Champion
CUST0374,11,272515.35,2024-11-11,Champion
CUST0389,9,271686.02,2024-12-10,Champion
CUST0339,14,270826.75,2024-10-24,Champion
CUST0207,10,270425.63,2024-12-12,Champion
CUST0190,14,270256.34,2024-10-27,Champion
CUST0462,9,269628.48,2024-11-02,Champion
CUST0141,12,268010.57,2024-12-01,Champion
CUST0187,12,267192.38,2024-10-21,Champion
CUST0294,9,267023.49,2024-11-02,Champion
CUST0029,14,266640.51,2024-11-14,Champion
CUST0359,12,266163.75,2024-12-04,Champion
CUST0136,8,263628.0,2024-11-08,Champion
CUST0442,9,257804.67,2024-10-15,Champion
CUST0480,8,256864.04,2024-10-21,Champion
CUST0267,17,252563.96,2024-12-27,Champion
CUST0263,8,252050.73,2024-10-29,Champion
CUST0104,10,251090.11,2024-08-28,Champion
CUST0338,14,250020.84,2024-11-15,Champion
CUST0330,9,249335.83,2024-12-07,Champion
CUST0012,8,248276.66,2024-08-11,Champion
CUST0143,16,248130.56,2024-12-13,Champion
CUST0111,8,248043.32,2024-04-28,Champion
CUST0353,13,247455.16,2024-12-27,Champion
CUST0087,12,244986.51,2024-08-23,Champion
CUST0001,14,244825.74,2024-11-24,Champion
CUST0448,10,244767.97,2024-11-29,Champion
CUST0386,13,241163.86,2024-10-10,Champion
CUST0085,11,240273.8,2024-10-15,Champion
CUST0472,8,236640.21,2024-10-29,Champion
CUST0137,6,234120.29,2024-11-20,Champion
CUST0056,7,232629.29,2024-10-21,Champion
CUST0356,8,231906.65,2024-04-16,Champion
CUST0142,11,229966.47,2024-09-21,Champion
CUST0443,7,229892.32,2024-11-16,Champion
CUST0343,8,228971.37,2024-12-30,Champion
CUST0052,13,226706.19,2024-11-10,Champion
CUST0174,14,225772.65,2024-12-30,Champion
CUST0254,13,225546.71,2024-10-18,Champion
CUST0091,13,225264.95,2024-11-14,Champion
CUST0315,10,222604.73,2024-11-16,Champion
