year,month,month_name,units_sold,net_revenue,profit,avg_margin
2023,1,Jan,263,1647912.56,408666.89,33.58
2023,2,Feb,257,1301477.66,360361.22,34.44
2023,3,Mar,330,2194556.11,527601.08,31.61
2023,4,Apr,426,2814763.09,724091.83,33.12
2023,5,May,389,2937539.45,657520.82,32.68
2023,6,Jun,284,1744506.3,433824.77,33.24
2023,7,Jul,307,2128189.26,528338.91,32.36
2023,8,Aug,375,2613001.3,632802.24,30.99
2023,9,Sep,350,2568259.07,666696.72,33.11
2023,10,Oct,471,3425630.11,899835.82,32.33
2023,11,Nov,495,2792499.09,762215.5,32.85
2023,12,Dec,523,4307422.41,1078035.91,31.12
2024,1,Jan,272,1753464.52,406226.9,32.24
2024,2,Feb,257,1732407.55,476875.84,32.31
2024,3,Mar,386,2531651.06,663096.54,32.77
2024,4,Apr,470,3269058.65,848115.34,31.73
2024,5,May,396,2506322.78,608422.26,34.48
2024,6,Jun,317,2214092.34,608481.86,32.58
2024,7,Jul,318,2051126.02,492986.61,33.31
2024,8,Aug,331,2255811.74,576204.47,31.92
2024,9,Sep,370,2599911.75,594710.44,31.49
2024,10,Oct,466,3449474.49,953606.72,33.24
2024,11,Nov,498,3266016.39,747015.73,33.01
2024,12,Dec,510,3758623.04,856027.07,32.19
